38 Provinsi,
,Listrik yang Didistribusikan Menurut Provinsi (GWh) (GWh)
,2018
ACEH,2587.71
SUMATERA UTARA,10445.02
SUMATERA BARAT,3496.18
RIAU,4377.21
JAMBI,1219.01
SUMATERA SELATAN,5501.26
BENGKULU,907.45
LAMPUNG,4257.15
KEP. BANGKA BELITUNG,1066.35
KEP. RIAU,2990.44
DKI JAKARTA,32779.19
JAWA BARAT,52878.86
JAWA TENGAH,23558.02
DI YOGYAKARTA,2856.95
JAWA TIMUR,35817.9
BANTEN,23736.3
BALI,5247.16
NUSA TENGGARA BARAT,1776.81
NUSA TENGGARA TIMUR,927.41
KALIMANTAN BARAT,2373.12
KALIMANTAN TENGAH,1223.79
KALIMANTAN SELATAN,2602.39
KALIMANTAN TIMUR,3637.27
KALIMANTAN UTARA,183.32
SULAWESI UTARA,1676.89
SULAWESI TENGAH,1171.08
SULAWESI SELATAN,5472.48
SULAWESI TENGGARA,911.73
GORONTALO,503.49
SULAWESI BARAT,345.28
MALUKU,597.37
MALUKU UTARA,401.48
PAPUA BARAT,569.02
PAPUA BARAT DAYA,-
PAPUA,916.96
PAPUA SELATAN,-
PAPUA TENGAH,-
PAPUA PEGUNUNGAN,-
INDONESIA,239012.04